DATE,POPULATION
04-22,5321
05-22,5780
06-22,5410
07-22,5432
08-22,6281
09-22,5908
10-22,5286
11-22,5974
12-22,6152
01-23,6622
02-23,6977
03-23,7078
04-23,5937
05-23,5995
06-23,5437
07-23,5686
08-23,5921
09-23,4621
10-23,6371
11-23,6148
12-23,6173
01-24,6672
02-24,7023
03-24,6414
04-24,5872
05-24,5690
06-24,4844
07-24,5636
08-24,5656
09-24,5177
10-24,5940
11-24,5657
12-24,6457
01-25,6472
02-25,7804
03-25,7661
04-25,6142
05-25,5689
06-25,6069
